,issue_key1,issue_key2,time_add_to_sprint,created,from_string,to_string,field,if_before
210,DAOS-1067,,2018-06-26 10:50:32,,,,,
211,DAOS-1068,,2018-06-26 10:50:58,,,,,
212,DAOS-1069,,2018-06-26 12:26:21,,,,,
213,DAOS-1070,,2018-06-27 08:18:00,,,,,
214,DAOS-1071,,2018-07-05 06:03:16,,,,,
215,DAOS-1073,,2018-06-29 09:32:56,,,,,
216,DAOS-1078,,2018-06-29 17:19:31,,,,,
217,DAOS-1079,,2018-06-29 17:21:04,,,,,
218,DAOS-108,,2016-06-21 23:18:17,,,,,
219,DAOS-1081,,2018-07-05 08:34:55,,,,,
220,DAOS-1082,,2018-07-02 13:35:24,,,,,
221,DAOS-1084,,2018-07-03 08:31:30,,,,,
222,DAOS-1089,,2018-07-03 11:01:42,,,,,
223,DAOS-109,,2016-06-21 23:56:14,,,,,
224,DAOS-1091,,2018-07-03 18:50:24,,,,,
225,DAOS-1094,,2018-07-05 08:34:48,,,,,
226,DAOS-1095,,2018-07-05 08:36:24,,,,,
227,DAOS-1096,,2018-07-05 16:28:54,,,,,
228,DAOS-1097,,2018-07-05 17:24:41,,,,,
229,DAOS-1098,,2018-07-05 17:24:41,,,,,
230,DAOS-1099,,2018-07-05 17:14:33,,,,,
231,DAOS-11,,2016-04-06 03:15:44,,,,,
232,DAOS-110,,2016-06-22 00:04:17,,,,,
233,DAOS-1100,,2018-07-17 12:33:10,,,,,
234,DAOS-1101,,2018-07-17 12:32:53,,,,,
235,DAOS-1102,,2018-07-05 17:12:10,,,,,
236,DAOS-1103,,2018-07-05 17:13:10,,,,,
237,DAOS-1105,,2018-07-05 16:51:08,,,,,
238,DAOS-1106,,2018-07-05 17:23:19,,,,,
239,DAOS-1107,,2018-07-05 17:24:09,,,,,
240,DAOS-1108,,2018-07-18 13:16:10,,,,,
241,DAOS-1109,,2018-07-06 13:00:48,,,,,
242,DAOS-111,,2016-06-22 00:06:18,,,,,
243,DAOS-1110,,2018-07-08 02:59:51,,,,,
244,DAOS-1111,,2018-07-08 03:28:03,,,,,
245,DAOS-1114,,2018-07-10 05:51:11,,,,,
246,DAOS-1118,,2018-07-31 07:19:19,,,,,
247,DAOS-1119,,2018-07-12 11:18:47,,,,,
248,DAOS-112,,2016-06-22 00:15:12,,,,,
249,DAOS-1123,,2018-07-14 04:49:00,,,,,
250,DAOS-1124,DAOS-1124,2018-07-14 05:06:52,2022-03-10 07:51:35,,This issue implements SRS-176,Link,0.0
251,DAOS-1124,DAOS-1124,2018-07-14 05:06:52,2022-03-10 07:43:17,,This issue implements SRS-166,Link,0.0
252,DAOS-1124,DAOS-1124,2018-07-14 05:06:52,2022-03-10 07:41:45,,This issue implements SRS-163,Link,0.0
253,DAOS-1125,,2018-08-28 07:32:30,,,,,
254,DAOS-1126,,2018-08-15 14:46:01,,,,,
255,DAOS-1127,,2018-07-17 16:16:16,,,,,
256,DAOS-113,,2016-06-22 00:27:34,,,,,
257,DAOS-1130,,2018-07-17 15:30:45,,,,,
